# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      34.20
2                      34.15
4                      34.09
8                      34.17
16                     34.05
32                     34.09
64                     34.12
128                    34.15
256                    34.19
512                    34.22
1024                   34.44
2048                   35.25
4096                   35.51
8192                   36.81
16384                  39.35
32768                  40.49
65536                  44.04
131072                 51.46
262144                 68.46
524288                100.86
1048576               171.53
2097152               258.89
4194304               438.92
