# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      38.73
2                      38.74
4                      38.73
8                      38.68
16                     38.76
32                     38.79
64                     38.76
128                    38.82
256                    38.91
512                    38.97
1024                   39.15
2048                   39.81
4096                   40.24
8192                   41.52
16384                  43.71
32768                  44.68
65536                  48.54
131072                 55.68
262144                 73.10
524288                104.00
1048576               172.55
2097152               255.94
4194304               427.95
