# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      35.73
2                      35.57
4                      35.62
8                      35.68
16                     35.62
32                     35.68
64                     35.60
128                    35.45
256                    35.30
512                    35.51
1024                   35.73
2048                   35.92
4096                   35.79
8192                   35.78
16384                  36.59
32768                  39.10
65536                  44.46
131072                 46.59
262144                 53.74
524288                 66.42
1048576                91.75
2097152               129.63
4194304               212.65
