# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      38.99
2                      38.90
4                      38.92
8                      38.91
16                     38.80
32                     38.72
64                     38.70
128                    38.73
256                    38.72
512                    38.83
1024                   38.85
2048                   38.98
4096                   39.26
8192                   39.45
16384                  40.18
32768                  41.94
65536                  45.99
131072                 50.47
262144                 59.05
524288                 75.86
1048576               108.15
2097152               160.37
4194304               335.05
