# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      22.98
2                      22.94
4                      23.08
8                      23.00
16                     23.00
32                     23.00
64                     23.03
128                    22.96
256                    23.07
512                    23.09
1024                   23.33
2048                   24.11
4096                   24.87
8192                   26.10
16384                  28.83
32768                  30.88
65536                  36.00
131072                 45.85
262144                 66.28
524288                103.15
1048576               181.30
2097152               262.97
4194304               420.38
