# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      41.33
2                      41.16
4                      41.27
8                      41.18
16                     41.13
32                     40.98
64                     40.85
128                    40.89
256                    40.86
512                    40.93
1024                   41.01
2048                   41.16
4096                   41.38
8192                   41.59
16384                  42.03
32768                  43.86
65536                  47.76
131072                 52.39
262144                 61.37
524288                 77.68
1048576               109.75
2097152               165.81
4194304               333.13
