# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      38.83
2                      38.67
4                      38.71
8                      38.59
16                     38.52
32                     38.54
64                     38.51
128                    38.52
256                    38.58
512                    38.56
1024                   38.67
2048                   38.78
4096                   38.94
8192                   39.61
16384                  39.89
32768                  40.89
65536                  43.18
131072                 48.53
262144                 59.08
524288                 78.95
1048576               117.97
2097152               178.85
4194304               297.31
