# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.09
4                       0.18
8                       0.37
16                      0.74
32                      1.47
64                      2.94
128                     5.89
256                    11.74
512                    23.41
1024                   46.58
2048                   92.47
4096                  183.79
8192                  365.08
16384                 718.40
32768                1390.98
65536                2564.61
131072               4352.92
262144               6324.85
524288               8545.07
1048576             10201.17
2097152             10455.32
4194304              9309.14
