# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.59
2                       1.20
4                       2.37
8                       4.77
16                      9.57
32                     19.14
64                     38.08
128                    75.81
256                   149.20
512                   302.41
1024                  586.77
2048                 1138.30
4096                 1986.99
8192                 3719.05
16384                6651.44
32768               10934.13
65536               15158.26
131072              13740.72
262144              12385.94
524288              12652.38
1048576             12786.43
2097152             13106.82
4194304             13207.66
