# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       3.86
2                       3.84
4                       3.85
8                       3.84
16                      3.85
32                      3.85
64                      3.85
128                     3.85
256                     3.87
512                     3.89
1024                    3.91
2048                    3.98
4096                    4.25
8192                    4.37
16384                   4.69
32768                   5.20
65536                   6.33
131072                  8.89
262144                 13.85
524288                 21.93
1048576                38.17
2097152                82.97
4194304               241.90
