# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       4.23
2                       4.22
4                       4.22
8                       4.23
16                      4.23
32                      4.23
64                      4.23
128                     4.22
256                     4.23
512                     4.26
1024                    4.30
2048                    4.35
4096                    4.56
8192                    4.71
16384                   4.95
32768                   5.46
65536                   6.68
131072                 11.41
262144                 16.45
524288                 22.89
1048576                44.77
2097152               101.31
4194304               254.36
