# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.60
2                       1.19
4                       2.42
8                       4.83
16                      9.70
32                     19.39
64                     38.55
128                    76.50
256                   151.29
512                   303.83
1024                  594.44
2048                 1157.85
4096                 2037.52
8192                 3797.11
16384                6735.46
32768               10989.59
65536               14788.87
131072              13604.06
262144              12464.97
524288              12690.83
1048576             12953.14
2097152             13225.00
4194304             13450.48
