# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.58
2                       2.54
4                       2.55
8                       2.55
16                      2.55
32                      2.56
64                      2.55
128                     2.55
256                     2.56
512                     2.58
1024                    2.60
2048                    2.64
4096                    2.88
8192                    3.00
16384                   3.31
32768                   3.71
65536                   4.79
131072                  6.98
262144                 12.27
524288                 20.28
1048576                36.44
2097152                68.70
4194304               162.37
