# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.53
2                       1.07
4                       2.16
8                       4.31
16                      8.67
32                     17.26
64                     34.53
128                    68.88
256                   136.43
512                   272.74
1024                  534.36
2048                 1039.90
4096                 1842.05
8192                 3379.07
16384                5811.91
32768                9737.44
65536               12945.34
131072              12789.35
262144              11708.47
524288              11937.91
1048576             12234.52
2097152             12467.23
4194304             12627.44
