# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.22
4                       2.40
8                       4.84
16                      9.72
32                     19.42
64                     38.93
128                    77.17
256                   153.20
512                   310.22
1024                  605.21
2048                 1177.31
4096                 2052.15
8192                 3814.84
16384                6800.76
32768               11067.48
65536               15039.42
131072              13509.65
262144              12148.99
524288              12359.02
1048576             12859.60
2097152             13155.82
4194304             13529.95
