# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       1.87
2                       1.86
4                       1.86
8                       1.86
16                      1.87
32                      1.87
64                      1.87
128                     1.89
256                     1.89
512                     1.89
1024                    1.91
2048                    1.95
4096                    2.21
8192                    2.33
16384                   2.56
32768                   2.98
65536                   4.05
131072                  6.10
262144                 11.27
524288                 19.34
1048576                36.46
2097152                67.69
4194304               134.10
