# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       2.07
2                       2.07
4                       2.06
8                       2.07
16                      2.06
32                      2.07
64                      2.07
128                     2.07
256                     2.08
512                     2.09
1024                    2.12
2048                    2.15
4096                    2.37
8192                    2.51
16384                   2.70
32768                   3.14
65536                   4.40
131072                  6.93
262144                 11.74
524288                 20.03
1048576                36.67
2097152                76.07
4194304               178.57
