# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.58
2                       1.20
4                       2.38
8                       4.77
16                      9.54
32                     19.02
64                     37.92
128                    75.39
256                   149.66
512                   299.61
1024                  585.66
2048                 1142.61
4096                 1978.07
8192                 3701.45
16384                6605.92
32768               10742.24
65536               14049.87
131072              13257.26
262144              12017.67
524288              12273.31
1048576             12848.36
2097152             13014.03
4194304             13321.03
