# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.51
2                       1.05
4                       2.09
8                       4.18
16                      8.40
32                     16.72
64                     33.40
128                    66.74
256                   132.41
512                   265.45
1024                  519.26
2048                  982.07
4096                 1793.72
8192                 3191.74
16384                5870.59
32768                9746.41
65536               12143.85
131072              12850.12
262144              11505.77
524288              11813.22
1048576             12161.76
2097152             12377.54
4194304             12549.59
