# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.07
4                       2.12
8                       4.25
16                      8.53
32                     17.04
64                     33.93
128                    67.80
256                   134.35
512                   268.05
1024                  524.17
2048                 1022.84
4096                 1774.46
8192                 3392.17
16384                5815.48
32768                9764.31
65536               13288.68
131072              12838.91
262144              11612.60
524288              11908.60
1048576             12119.62
2097152             12320.11
4194304             12447.82
