# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       4.65
2                       4.59
4                       4.60
8                       4.58
16                      4.58
32                      4.57
64                      4.58
128                     4.57
256                     4.59
512                     4.62
1024                    4.66
2048                    4.69
4096                    4.90
8192                    5.03
16384                   5.29
32768                   5.82
65536                   6.93
131072                  9.52
262144                 14.71
524288                 28.65
1048576                39.65
2097152                95.21
4194304               195.41
