# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.58
2                       1.19
4                       2.34
8                       4.73
16                      9.45
32                     18.81
64                     37.46
128                    74.82
256                   148.12
512                   296.57
1024                  578.44
2048                 1129.70
4096                 1919.81
8192                 3581.13
16384                6394.39
32768               10438.26
65536               13762.03
131072              13223.30
262144              11985.59
524288              12444.47
1048576             12847.16
2097152             13245.32
4194304             13384.57
