# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.06
4                       2.12
8                       4.23
16                      8.53
32                     17.01
64                     33.99
128                    67.81
256                   134.64
512                   268.67
1024                  526.21
2048                  999.73
4096                 1808.71
8192                 3324.56
16384                5714.83
32768                9784.70
65536               12779.79
131072              12932.89
262144              12007.22
524288              12202.03
1048576             12396.35
2097152             12692.38
4194304             12821.08
