# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       3.88
2                       3.88
4                       3.89
8                       3.91
16                      3.89
32                      3.90
64                      3.89
128                     3.89
256                     3.90
512                     3.92
1024                    3.96
2048                    4.03
4096                    4.27
8192                    4.40
16384                   4.67
32768                   5.25
65536                   6.37
131072                  8.84
262144                 13.93
524288                 24.08
1048576                42.53
2097152                98.30
4194304               259.46
