# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.59
2                       1.19
4                       2.38
8                       4.80
16                      9.60
32                     19.16
64                     38.20
128                    75.88
256                   151.70
512                   302.36
1024                  583.38
2048                 1141.44
4096                 1981.25
8192                 3794.34
16384                6826.68
32768               11379.10
65536               15997.93
131072              13459.07
262144              12107.35
524288              12293.83
1048576             12260.09
2097152             12477.22
4194304             12567.55
