# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       4.26
2                       4.25
4                       4.26
8                       4.28
16                      4.29
32                      4.28
64                      4.27
128                     4.27
256                     4.29
512                     4.33
1024                    4.36
2048                    4.40
4096                    4.63
8192                    4.76
16384                   4.97
32768                   5.44
65536                   6.32
131072                  8.89
262144                 14.35
524288                 22.62
1048576                39.38
2097152                72.56
4194304               157.58
