# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.60
2                       1.20
4                       2.41
8                       4.85
16                      9.69
32                     19.34
64                     38.74
128                    77.17
256                   153.88
512                   305.72
1024                  598.47
2048                 1162.11
4096                 2025.01
8192                 3832.09
16384                6896.38
32768               11429.66
65536               15796.59
131072              13917.37
262144              12505.98
524288              12661.61
1048576             12776.76
2097152             13049.00
4194304             13184.52
