# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.82
2                       2.82
4                       2.80
8                       2.80
16                      2.80
32                      2.82
64                      2.81
128                     2.82
256                     2.82
512                     2.83
1024                    2.85
2048                    2.90
4096                    3.13
8192                    3.24
16384                   3.46
32768                   3.89
65536                   4.86
131072                  6.97
262144                 12.00
524288                 19.93
1048576                36.07
2097152                67.94
4194304               159.32
