# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       1.87
2                       1.89
4                       1.89
8                       1.88
16                      1.88
32                      1.88
64                      1.88
128                     1.87
256                     1.89
512                     1.91
1024                    1.93
2048                    1.97
4096                    2.23
8192                    2.35
16384                   2.55
32768                   3.00
65536                   3.91
131072                  5.95
262144                 12.16
524288                 19.16
1048576                35.28
2097152                67.58
4194304               152.47
