# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       4.56
2                       4.57
4                       4.52
8                       4.51
16                      4.50
32                      4.50
64                      4.53
128                     4.51
256                     4.54
512                     4.56
1024                    4.63
2048                    4.69
4096                    4.92
8192                    5.05
16384                   5.28
32768                   5.75
65536                   6.64
131072                  9.16
262144                 14.20
524288                 22.25
1048576                38.43
2097152                70.65
4194304               161.35
