# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.51
2                       1.05
4                       2.10
8                       4.22
16                      8.44
32                     16.86
64                     33.75
128                    67.39
256                   134.19
512                   267.77
1024                  521.05
2048                 1017.55
4096                 1811.18
8192                 3456.22
16384                6253.73
32768               10510.48
65536               14552.48
131072              13232.60
262144              11893.60
524288              12103.23
1048576             12369.74
2097152             12623.14
4194304             12712.25
