# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.17
4                       2.34
8                       4.72
16                      9.43
32                     18.84
64                     37.66
128                    74.49
256                   148.53
512                   296.33
1024                  576.12
2048                 1126.84
4096                 1971.40
8192                 3741.27
16384                6717.83
32768               11172.82
65536               15476.53
131072              13310.31
262144              12068.49
524288              12251.76
1048576             12526.51
2097152             12761.57
4194304             12882.77
