# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       4.38
2                       4.39
4                       4.40
8                       4.39
16                      4.39
32                      4.43
64                      4.44
128                     4.43
256                     4.42
512                     4.46
1024                    4.53
2048                    4.58
4096                    4.81
8192                    4.94
16384                   5.17
32768                   5.65
65536                   6.54
131072                  8.96
262144                 14.00
524288                 22.01
1048576                38.14
2097152                70.36
4194304               144.68
