# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.50
2                       1.03
4                       2.06
8                       4.13
16                      8.24
32                     16.46
64                     32.90
128                    65.85
256                   131.25
512                   261.74
1024                  512.84
2048                  999.85
4096                 1788.14
8192                 3396.95
16384                6167.87
32768               10385.83
65536               13884.32
131072              13146.69
262144              11881.29
524288              12104.09
1048576             12371.58
2097152             12623.79
4194304             12720.91
