# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       5.33
2                       5.27
4                       5.29
8                       5.27
16                      5.27
32                      5.28
64                      5.29
128                     5.33
256                     5.28
512                     5.28
1024                    5.31
2048                    5.35
4096                    5.57
8192                    5.69
16384                   5.91
32768                   6.41
65536                   7.24
131072                  9.58
262144                 14.81
524288                 23.00
1048576                39.62
2097152                72.62
4194304               179.72
