# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.51
2                       1.04
4                       2.08
8                       4.15
16                      8.37
32                     16.69
64                     33.36
128                    66.77
256                   133.17
512                   264.59
1024                  521.55
2048                 1018.81
4096                 1808.39
8192                 3445.47
16384                6237.12
32768               10477.76
65536               14323.12
131072              13266.48
262144              11968.71
524288              12171.24
1048576             12360.70
2097152             12611.13
4194304             12712.31
