# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       3.93
2                       3.90
4                       3.90
8                       3.91
16                      3.90
32                      3.91
64                      3.90
128                     3.92
256                     3.91
512                     3.93
1024                    3.96
2048                    4.02
4096                    4.25
8192                    4.38
16384                   4.59
32768                   5.12
65536                   5.96
131072                  8.32
262144                 13.62
524288                 21.88
1048576                38.58
2097152                71.81
4194304               148.44
