# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       5.52
2                       5.48
4                       5.48
8                       5.42
16                      5.37
32                      5.38
64                      5.45
128                     5.49
256                     5.53
512                     5.65
1024                    5.85
2048                    6.78
4096                    7.44
8192                    8.98
16384                  11.24
32768                  15.15
65536                  21.97
131072                 35.72
262144                 63.10
524288                113.94
1048576               247.69
2097152               384.70
4194304               745.68
