# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       2.26
2                       5.00
4                      10.04
8                      20.02
16                     39.17
32                     78.36
64                    153.26
128                   295.53
256                   623.27
512                  1214.46
1024                 2277.04
2048                 4029.62
4096                 5712.38
8192                 7620.70
16384                8296.41
32768                8877.68
65536                8760.11
131072               7730.76
262144               7440.36
524288               5479.80
1048576              5623.52
2097152              5623.43
4194304              5622.04
