# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       2.49
2                       2.48
4                       2.48
8                       2.48
16                      2.47
32                      2.48
64                      2.54
128                     2.56
256                     2.81
512                     2.86
1024                    2.99
2048                    3.51
4096                    4.01
8192                    5.23
16384                   7.50
32768                   9.91
65536                  12.94
131072                 20.21
262144                 32.54
524288                 54.81
1048576               104.91
2097152               231.54
4194304               620.47
