# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.66
2                       3.60
4                       3.60
8                       3.61
16                      3.61
32                      3.62
64                      3.62
128                     3.62
256                     3.71
512                     3.83
1024                    4.05
2048                    4.83
4096                    5.51
8192                    7.08
16384                   9.32
32768                  13.27
65536                  19.82
131072                 33.56
262144                 61.63
524288                112.09
1048576               216.39
2097152               316.72
4194304               528.60
