# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       2.60
2                       5.20
4                      10.91
8                      21.77
16                     42.95
32                     84.10
64                    166.08
128                   321.60
256                   680.54
512                  1310.20
1024                 2493.79
2048                 4435.19
4096                 6366.18
8192                 8688.84
16384                8906.66
32768                9127.86
65536                8923.59
131072               7800.17
262144               7513.23
524288               6408.68
1048576              6620.22
2097152              6567.62
4194304              6552.43
