# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       1.38
2                       1.37
4                       1.38
8                       1.36
16                      1.37
32                      1.37
64                      1.44
128                     1.47
256                     1.70
512                     1.77
1024                    1.90
2048                    2.40
4096                    2.87
8192                    3.84
16384                   5.47
32768                   7.55
65536                  10.82
131072                 18.33
262144                 30.84
524288                 52.42
1048576                96.20
2097152               192.51
4194304               432.26
