# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       1.42
2                       2.89
4                       5.88
8                      11.68
16                     23.53
32                     46.44
64                     94.28
128                   186.45
256                   363.85
512                   683.36
1024                 1235.32
2048                 2155.18
4096                 3557.00
8192                 5312.14
16384                7175.63
32768                8672.96
65536                8170.34
131072               7495.34
262144               6019.66
524288               4332.53
1048576              8350.91
2097152              8362.86
4194304              8385.08
