# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       3.23
2                       3.20
4                       3.20
8                       3.21
16                      3.21
32                      3.21
64                      3.21
128                     3.24
256                     3.30
512                     3.41
1024                    3.59
2048                    4.34
4096                    5.07
8192                    6.66
16384                   8.92
32768                  12.77
65536                  19.34
131072                 33.41
262144                 61.95
524288                112.97
1048576               216.60
2097152               304.98
4194304               528.61
