# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       2.78
2                       5.65
4                      11.27
8                      22.07
16                     43.73
32                     87.54
64                    171.06
128                   328.88
256                   700.22
512                  1356.42
1024                 2565.78
2048                 4511.70
4096                 6532.30
8192                 8702.79
16384                8954.16
32768                9148.35
65536                8642.32
131072               7542.37
262144               7242.97
524288               6383.50
1048576              6581.63
2097152              6461.59
4194304              6470.72
