# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       2.25
2                       4.95
4                       9.87
8                      19.77
16                     38.97
32                     77.36
64                    152.81
128                   298.50
256                   615.58
512                  1204.15
1024                 2293.08
2048                 4154.06
4096                 5803.62
8192                 7786.30
16384                8244.12
32768                8951.10
65536                9780.98
131072              10716.13
262144              10332.51
524288              10355.86
1048576             10210.26
2097152             10213.01
4194304             10314.23
