# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       3.15
2                       3.15
4                       3.16
8                       3.15
16                      3.15
32                      3.15
64                      3.21
128                     3.25
256                     3.48
512                     3.52
1024                    3.68
2048                    4.20
4096                    4.72
8192                    5.88
16384                   8.01
32768                  10.51
65536                  13.77
131072                 21.75
262144                 33.89
524288                 57.55
1048576               105.24
2097152               206.72
4194304               443.49
