# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       3.57
2                       3.57
4                       3.58
8                       3.57
16                      3.60
32                      3.60
64                      3.64
128                     3.68
256                     3.90
512                     3.95
1024                    4.13
2048                    4.56
4096                    5.14
8192                    6.42
16384                   8.64
32768                  11.02
65536                  14.24
131072                 22.00
262144                 34.27
524288                 58.69
1048576               107.24
2097152               210.84
4194304               450.05
