# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       1.26
2                       2.75
4                       5.56
8                      11.10
16                     22.12
32                     44.21
64                     88.83
128                   174.88
256                   344.70
512                   642.65
1024                 1174.40
2048                 2028.90
4096                 3387.04
8192                 5103.31
16384                6911.27
32768                8304.77
65536                7368.42
131072               8318.31
262144               7568.48
524288               5891.00
1048576              5931.52
2097152              5988.37
4194304              6046.89
