# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       4.86
2                       4.86
4                       4.84
8                       4.84
16                      4.79
32                      4.81
64                      4.88
128                     4.92
256                     4.99
512                     5.10
1024                    5.32
2048                    6.20
4096                    6.86
8192                    8.43
16384                  10.65
32768                  14.81
65536                  21.55
131072                 34.90
262144                 62.84
524288                114.20
1048576               251.83
2097152               380.84
4194304               639.18
