# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.34
4                       2.69
8                       5.36
16                     10.67
32                     21.44
64                     42.69
128                    84.25
256                   163.10
512                   320.64
1024                  605.10
2048                 1090.37
4096                 1805.05
