# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.76
4                       1.53
8                       3.04
16                      6.09
32                     12.12
64                     24.21
128                    48.04
256                    94.17
512                   186.48
1024                  360.75
2048                  675.68
4096                 1196.69
