# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      11.55
2                      11.50
4                      11.53
8                      11.60
16                     11.60
32                     11.64
64                     11.62
128                    11.64
256                    11.67
512                    11.72
1024                   11.80
2048                   12.04
4096                   12.87
8192                   13.88
16384                  15.12
32768                  17.21
65536                  19.79
131072                 25.51
262144                 36.08
524288                110.92
1048576               182.35
2097152               267.62
4194304               443.48
