# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      11.45
2                      11.25
4                      11.33
8                      11.39
16                     11.46
32                     11.46
64                     11.46
128                    11.52
256                    11.60
512                    11.71
1024                   11.71
2048                   11.92
4096                   12.73
8192                   13.64
16384                  14.80
32768                  16.83
65536                  19.51
131072                 25.32
262144                 35.99
524288                111.23
1048576               182.72
2097152               268.14
4194304               444.14
