# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                       3.50
2                       3.51
4                       3.51
8                       3.51
16                      3.50
32                      3.53
64                      3.50
128                     3.51
256                     3.58
512                     3.60
1024                    3.72
2048                    4.37
4096                    4.81
8192                    5.46
16384                   6.89
32768                   9.04
65536                  11.88
131072                 17.03
262144                 27.83
524288                102.77
1048576               187.21
2097152               274.58
4194304               449.24
