# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.73
16                      1.46
32                      2.93
64                      5.88
128                    11.78
256                    23.53
512                    47.03
1024                   94.10
2048                  187.89
4096                  374.37
8192                  746.42
16384                1464.87
32768                3024.32
65536                5968.13
131072               9304.85
262144              11731.98
524288              11933.35
1048576             10760.88
2097152             12125.74
4194304             12228.02
