# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      20.06
2                      20.00
4                      19.96
8                      19.97
16                     20.03
32                     19.98
64                     19.97
128                    19.77
256                    19.98
512                    19.99
1024                   20.27
2048                   21.01
4096                   21.38
8192                   22.82
16384                  25.67
32768                  27.77
65536                  32.85
131072                 42.66
262144                 62.82
524288                102.79
1048576               186.69
2097152               271.44
4194304               441.20
