# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      18.88
2                      18.75
4                      18.80
8                      18.81
16                     18.80
32                     18.80
64                     18.90
128                    18.78
256                    18.93
512                    18.92
1024                   19.10
2048                   19.94
4096                   20.33
8192                   21.84
16384                  24.82
32768                  26.88
65536                  31.90
131072                 41.42
262144                 61.31
524288                100.56
1048576               185.47
2097152               270.27
4194304               440.50
