# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.72
16                      1.45
32                      2.89
64                      5.79
128                    11.58
256                    23.18
512                    46.36
1024                   92.67
2048                  185.55
4096                  368.98
8192                  735.01
16384                1434.02
32768                2964.07
65536                5853.94
131072               9093.61
262144               6759.66
524288              11903.83
1048576             10241.51
2097152             11373.19
4194304             11529.87
