# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.72
16                      1.46
32                      2.91
64                      5.84
128                    11.71
256                    23.40
512                    46.82
1024                   93.60
2048                  186.75
4096                  374.16
8192                  742.65
16384                1462.42
32768                2994.63
65536                5925.69
131072               9197.61
262144              11694.83
524288              11897.85
1048576             10227.42
2097152             11270.05
4194304             11407.43
