# OSU MPI_Put-CUDA Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       3.50
2                       3.46
4                       3.45
8                       3.49
16                      3.43
32                      3.43
64                      3.50
128                     3.52
256                     3.49
512                     3.44
1024                    3.44
2048                    3.75
4096                    4.06
8192                    4.75
16384                   6.37
32768                   8.32
65536                  11.00
131072                 16.37
262144                 27.18
