# OSU MPI_Put-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       2.32
2                       4.68
4                       9.49
8                      19.20
16                     37.86
32                     75.21
64                    151.52
128                   295.94
256                   525.88
512                  1024.86
1024                 2115.68
2048                 4320.78
4096                 8522.61
