# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.33
4                       2.66
8                       5.32
16                     10.62
32                     21.09
64                     42.07
128                    82.93
256                   160.80
512                   316.07
1024                  597.98
2048                 1076.15
4096                 1788.26
